id,smi,mw,nrings,S,B,F,N,Se,Br,O,Cl,P,Si,C,s1,t1,t2,gap1,gap2,ip,ea,HOME_0-LUMO_0,HOME_0-LUMO_1,HOME_0-LUMO_2,HOME_0-LUMO_3,HOME_1-LUMO_0,HOME_1-LUMO_1,HOME_1-LUMO_2,HOME_1-LUMO_3,HOME_2-LUMO_0,HOME_2-LUMO_1,HOME_2-LUMO_2,HOME_2-LUMO_3,HOME_3-LUMO_0,HOME_3-LUMO_1,HOME_3-LUMO_2,HOME_3-LUMO_3
7080,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,228.29399999999998,4,0,0,0,0,0,0,0,0,0,0,18,2.9381,1.5946,2.9767,-0.2511000000000001,-0.2124999999999999,7.7371,2.0076,-1.6457999999999997,-2.975999999999999,-3.286599999999999,-4.183199999999999,-2.6819000000000006,-4.0121,-4.3227,-5.2193000000000005,-2.856,-4.1862,-4.4968,-5.3934,-3.2233,-4.5535,-4.8641,-5.7607
67446,C1=CC2=C3C4=C1C=CC5=CC6=C7C8=C(C=CC9=C8C1=C(C=C9)C=C(C3=C1C7=C54)C=C2)C=C6,398.46400000000006,10,0,0,0,0,0,0,0,0,0,0,32,3.1581,2.0658,3.0566,-0.9734999999999996,-1.0749999999999997,7.4888,2.3186,-1.7886999999999995,-2.4146,-2.9215,-3.1592,-2.2891000000000004,-2.915000000000001,-3.421900000000001,-3.659600000000001,-2.666199999999999,-3.2921,-3.799,-4.0367,-2.8829,-3.508800000000001,-4.015700000000001,-4.253400000000001
9137,C1=CC=C2C=C3C4=C5C(=CC3=CC2=C1)C=CC6=C5C(=CC=C6)C=C4,302.376,6,0,0,0,0,0,0,0,0,0,0,24,3.0975,1.861,2.8211,-0.6244999999999998,-0.9009,7.5542,2.2013,-1.6978000000000009,-2.5821000000000005,-3.134500000000001,-3.587900000000001,-2.4206000000000003,-3.3049,-3.8573,-4.310700000000001,-2.7894000000000005,-3.6737,-4.226100000000001,-4.679500000000001,-3.017899999999999,-3.902199999999999,-4.454599999999999,-4.908
9122,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C6=CC=CC(=C64)C2=C1,302.37600000000003,6,0,0,0,0,0,0,0,0,0,0,24,4.109,3.0989,3.6903,-2.0888,-2.5075,8.0811,1.5358,-2.7878999999999987,-3.080499999999999,-3.404399999999999,-3.8874999999999993,-3.019399999999999,-3.3119999999999994,-3.6359,-4.119,-3.2890999999999995,-3.5817,-3.9056,-4.3887,-3.5573999999999995,-3.85,-4.1739,-4.657
9129,C1=CC=C2C=C3C4=CC=CC5=C4C6=C(C=CC=C6C3=CC2=C1)C=C5,302.376,6,0,0,0,0,0,0,0,0,0,0,24,3.8607,2.6962,3.1599,-1.5317000000000003,-2.2325000000000004,7.944,1.7204,-2.618899999999999,-2.667399999999999,-3.557199999999999,-3.836499999999999,-2.6368,-2.6853,-3.5751,-3.8544,-3.3124,-3.360899999999999,-4.250699999999999,-4.529999999999999,-3.4965,-3.545,-4.4348,-4.7141
164559,C1=CC=C2C(=C1)C=C3C=C4C=CC=CC4=C5C3=C2C6=CC=CC=C65,302.376,6,0,0,0,0,0,0,0,0,0,0,24,2.614,1.3705,2.3273,-0.12700000000000022,-0.41369999999999996,7.6531,2.5177,-1.3943999999999992,-2.9481,-3.3567,-3.5802,-1.8011,-3.354800000000001,-3.7634000000000007,-3.9869,-2.5632,-4.116900000000001,-4.525500000000001,-4.7490000000000006,-2.668099999999999,-4.2218,-4.6304,-4.853899999999999
87816,C1=CC=C(C=C1)C#CC2=C3C=CC=CC3=C(C4=CC5=CC=CC=C5C=C42)C#CC6=CC=CC=C6,428.53400000000016,6,0,0,0,0,0,0,0,0,0,0,34,2.4186,1.2034,2.6261,0.011800000000000033,0.21930000000000005,7.0986,2.7089,-1.2410999999999994,-2.4601000000000006,-2.8266,-3.0737000000000005,-2.2131999999999987,-3.4322,-3.7986999999999993,-4.0458,-2.458599999999999,-3.6776,-4.044099999999999,-4.2912,-2.589599999999999,-3.8086,-4.1751,-4.4222
67455,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC6=C5C(=CC=C6)C4=CC2=C1,302.37600000000003,6,0,0,0,0,0,0,0,0,0,0,24,3.3397,2.1135,3.2522,-0.8873000000000002,-0.9748000000000001,7.6782,2.0309,-1.91,-2.823999999999999,-3.495499999999999,-3.520299999999999,-2.6670000000000007,-3.5810000000000004,-4.2525,-4.2773,-3.115900000000001,-4.0299000000000005,-4.7014000000000005,-4.7262,-3.1194,-4.033399999999999,-4.704899999999999,-4.729699999999999
146307,C1=CC=C2C=C3C4=C5C(=CC=CC5=CC3=CC2=C1)C=C4,252.316,5,0,0,0,0,0,0,0,0,0,0,20,2.4941,1.3716,2.3646,-0.24909999999999988,-0.37860000000000005,7.7729,2.4164,-1.314400000000001,-2.6375,-3.339700000000001,-4.067100000000001,-1.9191000000000005,-3.2421999999999995,-3.9444,-4.6718,-2.4651,-3.788199999999999,-4.490399999999999,-5.2178,-2.5314,-3.854499999999999,-4.556699999999999,-5.2841
155608,C1=CC=C2C3=C4C(=C5C=CC=CC5=CC4=CC2=C1)C=C3,252.316,5,0,0,0,0,0,0,0,0,0,0,20,2.5682,1.4076,1.8815,-0.2469999999999999,-0.9337,7.925,2.4807,-1.4419000000000004,-3.271000000000001,-3.5550000000000006,-3.8155,-1.4566999999999997,-3.2858,-3.5698,-3.8303,-2.442,-4.271100000000001,-4.5551,-4.8156,-2.6564999999999994,-4.4856,-4.7696,-5.030099999999999
9114,C1=CC=C2C3=C4C5=C(C=CC6=C5C7=C(C=C6)C=CC8=C7C4=C(C2=C1)C=C8)C=C3,350.4200000000001,8,0,0,0,0,0,0,0,0,0,0,28,3.554,2.7313,3.3529,-1.9086000000000003,-2.1097,7.8125,1.894,-2.3822,-2.6481000000000003,-3.5044000000000004,-3.7129,-2.5863000000000005,-2.8522000000000007,-3.708500000000001,-3.9170000000000007,-3.2410000000000005,-3.506900000000001,-4.363200000000001,-4.571700000000001,-3.2534,-3.5193000000000003,-4.3756,-4.5841
9167,C1=CC=C2C=C3C=C4C5=CC=CC=C5C6=CC=CC=C6C4=CC3=CC2=C1,328.41400000000004,6,0,0,0,0,0,0,0,0,0,0,26,3.2324,1.9647,3.2872,-0.6969999999999996,-0.6421999999999999,7.6468,2.0878,-1.9094000000000009,-2.8420000000000005,-2.916100000000001,-3.401300000000001,-2.6087,-3.5413,-3.6154,-4.1006,-2.6796,-3.6122,-3.6863,-4.1715,-3.034299999999999,-3.966899999999999,-4.041,-4.526199999999999
67470,C1=CC=C2C(=C1)C=CC3=CC4=CC5=CC=CC=C5C=C4C=C32,278.354,5,0,0,0,0,0,0,0,0,0,0,22,3.1266,1.8477,3.099,-0.5688,-0.5963999999999996,7.6765,2.0601,-1.8024000000000004,-2.763100000000001,-3.1204,-3.723100000000001,-2.5512999999999995,-3.512,-3.869299999999999,-4.472,-2.8044,-3.7651,-4.122399999999999,-4.725099999999999,-3.2056000000000004,-4.166300000000001,-4.5236,-5.1263000000000005
136017,C1=CC=C2C(=C1)C3=C4C5=C2SSC5=C6C=CC=CC6=C4SS3,352.53000000000003,6,4,0,0,0,0,0,0,0,0,0,18,2.1169,0.9396,1.8346,0.2376999999999998,-0.04459999999999997,6.8722,1.8284,-1.0042000000000009,-1.5736000000000008,-1.689400000000001,-2.0574000000000003,-2.3641000000000005,-2.9335000000000004,-3.049300000000001,-3.4173,-2.670300000000001,-3.239700000000001,-3.355500000000001,-3.723500000000001,-2.7836,-3.353,-3.4688,-3.8367999999999993
9104,C1=CC=C2C=C3C4=C5C(=CC3=CC2=C1)C=CC6=CC7=CC8=CC=CC=C8C=C7C(=C65)C=C4,402.49600000000015,8,0,0,0,0,0,0,0,0,0,0,32,3.1455,1.8442,2.4506,-0.5428999999999999,-1.2378,7.2889,2.4789,-1.605199999999999,-2.0287,-2.771399999999999,-3.1156,-1.9922999999999995,-2.4158,-3.158499999999999,-3.5027,-2.563,-2.9865000000000004,-3.7292,-4.0734,-2.7597,-3.1832000000000003,-3.9259,-4.2701
9186,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C5C=CC6=CC=CC=C6C5=C4)C=C32,328.41400000000004,6,0,0,0,0,0,0,0,0,0,0,26,3.3056,2.0977,3.232,-0.8898000000000001,-0.9634,7.6239,2.1029,-1.9525000000000008,-2.728900000000001,-2.9411000000000005,-3.427900000000001,-2.5611999999999995,-3.3376,-3.5497999999999994,-4.0366,-2.7193000000000005,-3.495700000000001,-3.7079,-4.194700000000001,-3.082699999999999,-3.8591,-4.071299999999999,-4.5581
123030,C1=CC2=C3C(=C1)C4=C5C6=C(C=CC7=C6C(=CC=C7)C8=C5C3=C(C=C2)C=C8)C=C4,350.42,8,0,0,0,0,0,0,0,0,0,0,28,3.5513,2.3988,3.354,-1.2463000000000002,-1.4436,7.6541,2.0866,-2.0563,-2.7680000000000007,-3.0319000000000003,-3.5337000000000005,-2.6102999999999987,-3.321999999999999,-3.5858999999999988,-4.087699999999999,-2.8338,-3.5455000000000005,-3.8094,-4.3112,-3.085799999999999,-3.7975,-4.061399999999999,-4.563199999999999
123039,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC5=CC6=CC=CC=C6C=C5C=C43,328.41400000000004,6,0,0,0,0,0,0,0,0,0,0,26,2.9884,1.7361,2.8663,-0.4838,-0.6059000000000001,7.4847,2.2722,-1.6737000000000002,-2.542,-2.9134,-3.3246,-2.3629,-3.2311999999999994,-3.6026,-4.0138,-2.6217000000000006,-3.49,-3.8614000000000006,-4.272600000000001,-2.9328000000000003,-3.8011,-4.1725,-4.5837
123042,C1=CC=C2C=C3C(=CC2=C1)C=CC4=CC5=CC6=CC=CC=C6C=C5C=C43,328.41400000000004,6,0,0,0,0,0,0,0,0,0,0,26,3.2146,1.9354,2.7936,-0.6562000000000001,-1.0772,7.5716,2.162,-1.8634999999999995,-2.2598,-3.1251999999999995,-3.4504,-2.1917,-2.588,-3.4534,-3.778600000000001,-2.822399999999999,-3.2186999999999992,-4.084099999999999,-4.4093,-3.0359999999999987,-3.432299999999999,-4.297699999999999,-4.6229
185897,C1=CC=C2C(=C1)C=CC3=C2C4=CC5=CC6=CC=CC=C6C=C5C=C4C=C3,328.41400000000004,6,0,0,0,0,0,0,0,0,0,0,26,2.9559,1.7353,2.8463,-0.5146999999999999,-0.6243000000000003,7.4897,2.2239,-1.6740000000000004,-2.5626000000000007,-2.7439,-3.4638,-2.3798000000000004,-3.2684000000000006,-3.4497,-4.1696,-2.5248,-3.4134,-3.5947,-4.3146,-3.0181,-3.9067,-4.087999999999999,-4.807899999999999
11247765,C12=C(C(=C3C(=C1F)C(=C(C(=C3F)F)F)F)F)C(=C4C(=C2F)C(=C(C(=C4F)F)F)F)F,444.17400000000004,4,0,0,12,0,0,0,0,0,0,0,18,2.7626,1.3426,2.7399,0.07739999999999991,0.05469999999999997,8.9997,3.5371,-1.4282000000000004,-2.6096000000000004,-2.6484000000000005,-3.7826,-2.3337000000000003,-3.5151000000000003,-3.5539000000000005,-4.6881,-2.883700000000001,-4.065100000000001,-4.103900000000001,-5.238100000000001,-3.021700000000001,-4.203100000000001,-4.241900000000001,-5.376100000000001
123041,C1=CC=C2C=C3C=C4C(=CC3=CC2=C1)C=CC5=CC6=CC7=CC=CC=C7C=C6C=C54,378.4740000000001,7,0,0,0,0,0,0,0,0,0,0,30,3.213,1.8731,2.1309,-0.5331999999999999,-1.6153,7.361,2.4019,-1.854099999999999,-1.8908,-3.0378999999999987,-3.195499999999999,-1.9078,-1.9445000000000008,-3.0916,-3.2492,-2.7692,-2.8059000000000003,-3.953,-4.1106,-2.8613,-2.898000000000001,-4.0451,-4.2027
136001,C1=CC2=C3C=CC=C4C3=C5C6=C2C(=C1)C7=C8C6=C9C1=C(C8=CC=C7)C=CC=C1C1=CC=CC2=C1C9=C5C1=C4C=CC=C21,522.6060000000002,13,0,0,0,0,0,0,0,0,0,0,42,3.3402,2.6244,3.133,-1.9086000000000003,-2.1158,7.4915,2.2473,-2.3131000000000004,-2.3131000000000004,-2.682300000000001,-3.614500000000001,-2.3132,-2.3132,-2.6824000000000003,-3.6146,-2.6276,-2.6276,-2.9967999999999995,-3.929,-3.0954999999999995,-3.0954999999999995,-3.4647,-4.3969
136008,C1=CC=C2C3=C4C5=C(C2=C1)C=CC=C5C6=CC=CC7=C6C4=C(C=C3)C8=CC=CC=C78,376.4580000000001,8,0,0,0,0,0,0,0,0,0,0,30,3.8557,2.8796,3.5416,-1.9034999999999997,-2.2176,7.7963,1.8732,-2.5058,-2.8156,-3.1430000000000007,-3.7472,-2.753099999999999,-3.062899999999999,-3.3903,-3.9945,-3.033599999999999,-3.343399999999999,-3.6708,-4.275,-3.310199999999999,-3.619999999999999,-3.9474,-4.5516
136021,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC6=C5C(=CC7=CC=CC=C67)C4=CC2=C1,352.43600000000004,7,0,0,0,0,0,0,0,0,0,0,28,3.3283,2.1671,3.1794,-1.0059,-1.1548000000000003,7.5716,2.1393,-1.9248000000000005,-2.7809,-2.8854,-3.4984,-2.649400000000001,-3.5055000000000005,-3.61,-4.223000000000001,-2.7108,-3.5668999999999995,-3.6713999999999993,-4.2844,-3.1215,-3.9776,-4.0821,-4.6951
9120,C1=CC=C2C=C3C4=C5C(=CC3=CC2=C1)C6=CC=CC=C6C7=CC8=CC9=CC=CC=C9C=C8C(=C75)C=C4,452.5560000000002,9,0,0,0,0,0,0,0,0,0,0,36,3.2709,2.0783,2.4203,-0.8856999999999999,-1.7363,7.2933,2.4676,-1.7736999999999998,-2.0749000000000004,-2.8588000000000005,-2.8625,-2.0677000000000003,-2.368900000000001,-3.152800000000001,-3.1565000000000003,-2.635399999999999,-2.9365999999999994,-3.7205,-3.724199999999999,-2.6587,-2.9599,-3.7438,-3.7475
9185,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C=C5C(=C4)C=CC6=CC=CC=C65,328.41400000000004,6,0,0,0,0,0,0,0,0,0,0,26,3.3113,2.1016,3.1179,-0.8918999999999997,-1.0852999999999997,7.6348,2.0941,-1.9620999999999995,-2.6668000000000003,-3.1678999999999995,-3.2015,-2.5102,-3.2149,-3.7159999999999993,-3.7496,-2.8932,-3.597900000000001,-4.099,-4.132600000000001,-2.9119,-3.6166,-4.117699999999999,-4.1513
9797,C1=CC2=C3C(=C1)C4=C(C5=CC=CC(=C53)C=C2)C6=CC=CC7=C6C8=C(C=CC=C84)C=C7,376.45800000000014,8,0,0,0,0,0,0,0,0,0,0,30,3.5367,2.2984,2.9394,-1.0600999999999998,-1.6574,7.5137,2.1243,-1.9419000000000004,-2.534700000000001,-2.762600000000001,-3.2265000000000006,-2.5661000000000005,-3.158900000000001,-3.386800000000001,-3.8507000000000007,-2.6472999999999995,-3.2401,-3.468,-3.9319,-2.9719,-3.5647,-3.7926,-4.2565
123027,C1=CC2=C3C(=C1)C=C4C5=CC=CC6=C5C(=CC=C6)C7=C4C3=C(C=C2)C=C7,326.398,7,0,0,0,0,0,0,0,0,0,0,26,3.0832,1.8287,3.0619,-0.5741999999999998,-0.5954999999999999,7.5013,2.263,-1.6389000000000005,-2.7266000000000004,-3.1107000000000005,-3.3904000000000005,-2.5170000000000003,-3.6047,-3.9888,-4.2685,-2.7961,-3.8838,-4.2679,-4.5476,-2.9203,-4.008,-4.3921,-4.6718
123037,C1=CC=C2C(=C1)C=CC3=CC4=CC5=C(C=C4C=C32)C6=CC=CC=C6C7=CC=CC=C75,378.47400000000005,7,0,0,0,0,0,0,0,0,0,0,30,3.4154,2.2251,3.2295,-1.0347999999999997,-1.2207,7.6071,2.1184,-2.0687,-2.7283,-2.9887999999999995,-3.2217,-2.5717,-3.2313,-3.4918,-3.7247,-2.7704000000000004,-3.4300000000000006,-3.6905,-3.923400000000001,-2.9602000000000004,-3.619800000000001,-3.8803,-4.113200000000001
135992,C1=CC=C2C(=C1)C3=C4C(=CC=C3)C5=C6C(=CC=C5)C7=CC=CC8=C7C9=C(C=C2C4=C69)C1=CC=CC=C81,450.54000000000025,10,0,0,0,0,0,0,0,0,0,0,36,3.6087,2.8123,3.2793,-2.0159000000000002,-2.3453,7.6675,2.0206,-2.5158,-2.5542,-3.0504,-3.5139,-2.542700000000001,-2.581100000000001,-3.077300000000001,-3.540800000000001,-2.9669,-3.0053,-3.5015,-3.965,-3.2838000000000003,-3.3222000000000005,-3.818400000000001,-4.2819
135999,C1=CC=C2C(=C1)C3=C4C(=CC=C3)C5=CC=CC=C5C6=C4C2=C7C8=CC=CC=C8C9=C1C7=C6C2=CC=CC=C2C1=CC=C9,526.6380000000004,11,0,0,0,0,0,0,0,0,0,0,42,3.0791,2.1355,3.0401,-1.1919,-1.2309,7.3512,2.37,-1.904,-2.5386,-2.7673999999999994,-2.8649,-2.356300000000001,-2.990900000000001,-3.2197000000000005,-3.3172000000000006,-2.590300000000001,-3.2249000000000008,-3.4537000000000004,-3.5512000000000006,-2.700000000000001,-3.334600000000001,-3.563400000000001,-3.6609000000000007
136006,C1=CC=C2C3=C4C5=C(C2=C1)C=CC6=C5C7=C(C=C6)C=CC8=C7C4=C(C=C3)C9=CC=CC=C89,400.48000000000013,9,0,0,0,0,0,0,0,0,0,0,32,3.5573,2.7661,3.3604,-1.9748999999999994,-2.1717999999999997,7.7129,1.9873,-2.3854999999999995,-2.5828999999999995,-3.2654,-3.6918,-2.5377,-2.7351,-3.4176,-3.844,-3.0773,-3.2747,-3.9572,-4.3836,-3.2155,-3.4129,-4.0954,-4.5218
136009,C1=CC=C2C=C3C4=C5C6=C(C=CC=C6C7=CC=CC8=C7C5=C(C3=CC2=C1)C=C8)C=C4,376.4580000000001,8,0,0,0,0,0,0,0,0,0,0,30,3.1538,2.0845,2.7417,-1.0151999999999997,-1.4272999999999998,7.4533,2.3067,-1.7844000000000009,-2.5289,-2.8202000000000007,-3.4917000000000007,-2.4105,-3.155,-3.4463,-4.1178,-2.5891,-3.333599999999999,-3.6248999999999993,-4.296399999999999,-2.9531,-3.6976,-3.9889,-4.6604
136014,C1=CC=C2C3=C4C5=C(C=CC6=C5C(=CC=C6)C7=CC=CC(=C74)C2=C1)C=C3,326.3980000000001,7,0,0,0,0,0,0,0,0,0,0,26,3.8129,2.6992,3.4946,-1.5854999999999997,-1.9037999999999995,7.8584,1.8253,-2.380300000000001,-2.822300000000001,-3.403200000000001,-3.7143000000000006,-2.7252,-3.1672,-3.7481,-4.0592,-3.1743,-3.6163,-4.1972,-4.508299999999999,-3.294,-3.736,-4.3169,-4.627999999999999
136038,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC5=CC6=C(C=C5C=C24)C7=CC=CC=C7C8=CC=CC=C86,428.5340000000001,8,0,0,0,0,0,0,0,0,0,0,34,3.5277,2.3603,3.2751,-1.1929000000000003,-1.4455,7.5909,2.1316,-2.188299999999999,-2.7568,-3.0041,-3.177,-2.6101,-3.1786000000000003,-3.4259000000000004,-3.5988000000000007,-2.807999999999999,-3.376499999999999,-3.6237999999999992,-3.7967,-2.9517999999999995,-3.5203,-3.7676,-3.9405
136154,C1=CC=C2C3=C4C5=C(C2=C1)C=CC6=C5C7=C(C=CC8=C7C4=C(C=C3)C9=CC=CC=C89)C1=CC=CC=C61,450.54000000000013,10,0,0,0,0,0,0,0,0,0,0,36,3.5871,2.8736,3.3845,-2.1601000000000004,-2.3627000000000002,7.6556,2.0294,-2.5529,-2.5529,-3.084200000000001,-3.7566000000000006,-2.5529,-2.5529,-3.084200000000001,-3.7566000000000006,-3.0040000000000004,-3.0040000000000004,-3.535300000000001,-4.207700000000001,-3.3015,-3.3015,-3.8328000000000007,-4.5052
136155,C1=CC=C2C(=C1)C3=C4C(=CC=C3)C5=CC=CC6=C5C7=C(C8=CC=CC=C68)C9=CC=CC=C9C2=C47,426.51800000000014,9,0,0,0,0,0,0,0,0,0,0,34,3.4045,2.38,3.2505,-1.3554999999999997,-1.5094999999999996,7.5089,2.154,-2.0551000000000004,-2.647100000000001,-2.809100000000001,-3.495000000000001,-2.5490000000000004,-3.141000000000001,-3.303000000000001,-3.988900000000001,-2.7034,-3.2954,-3.4574,-4.1433,-3.0403,-3.6323,-3.7943,-4.4802
138616,C1=CC=C2C3=C4C(=CC2=C1)C5=CC=CC6=C5C7=C(C=C6)C=CC(=C74)C=C3,326.398,7,0,0,0,0,0,0,0,0,0,0,26,3.5559,2.3954,3.2789,-1.2349,-1.5118999999999998,7.7404,1.9734,-2.136899999999999,-2.6741,-3.3675999999999995,-3.6066,-2.5707000000000004,-3.1079000000000008,-3.801400000000001,-4.040400000000001,-3.0933,-3.6305,-4.324,-4.563,-3.190999999999999,-3.7281999999999993,-4.4217,-4.660699999999999
142517,C1=CC2=C3C4=C1C=CC5=C4C6=C(C=C5)C7=C8C9=C(C=CC1=C9C4=C(C=C1)C=CC1=C(C3=C6C8=C14)C=C2)C=C7,472.5460000000002,12,0,0,0,0,0,0,0,0,0,0,38,3.1807,2.5075,3.0549,-1.8342999999999998,-1.9600999999999997,7.4975,2.2729,-2.0984,-2.285,-3.0085999999999995,-3.170399999999999,-2.2497000000000007,-2.4363,-3.1599000000000004,-3.3217,-2.815200000000001,-3.0018,-3.725400000000001,-3.8872,-2.9551,-3.1417,-3.8653,-4.027099999999999
143000,C1=CC2=C3C(=C1)C4=C5C6=C(C=C4)C7=CC=CC8=C7C9=C6C1=C(C=CC4=C1C5=C3C(=C4)C=C2)C=C9C=C8,448.52400000000017,11,0,0,0,0,0,0,0,0,0,0,36,3.181,2.337,2.8751,-1.4930000000000003,-1.7989000000000002,7.4766,2.2962,-2.028199999999999,-2.1857,-2.970699999999999,-3.2288999999999994,-2.16,-2.3175,-3.102499999999999,-3.3607,-2.7879,-2.9454,-3.7304,-3.9886,-2.9555,-3.1130000000000004,-3.898,-4.1562
6455216,C1=CC2=C3C(=C1)C4=C5C6=C(C=CC7=C6C8=C(C=C7)C=CC9=C8C5=C3C(=C9)C=C2)C=C4,374.4420000000001,9,0,0,0,0,0,0,0,0,0,0,30,3.3581,2.3426,3.1069,-1.3271000000000002,-1.5783,7.6163,2.1481,-2.0166000000000004,-2.4808000000000003,-3.0957,-3.5596000000000005,-2.3851,-2.8492999999999995,-3.464199999999999,-3.9281,-2.8652999999999995,-3.3294999999999995,-3.944399999999999,-4.4083,-3.037000000000001,-3.5012000000000008,-4.1161,-4.580000000000001
